id,title,latitude,longitude,depth,ocean,record_link,common_name,thumbnail,archetype,species
ld1-1643413067249-1643413071109-0,Chlorurus spilurus,21.4351,-157.786,2,Pacific Ocean,http://n2t.net/ark:/65665/3a40a52aa-1fc2-4d1b-9cbe-515cd6842a18,Chlorurus wrasse,https://collections.nmnh.si.edu/media/?i=12307447,Others,Reef Fish
ld1-1643413067249-1643413071051-0,Thalassoma duperrey,21.466,-157.764,13,Pacific Ocean,http://n2t.net/ark:/65665/39ca8549e-9f80-4ccc-bd5a-51bc75366c88,Thalassoma goby,https://collections.nmnh.si.edu/media/?i=12307416,Prey,Reef Fish
ld1-1643413067249-1643413069541-0,Pristipomoides auricilla,-17.4737,-149.847,115,Pacific Ocean,http://n2t.net/ark:/65665/3119172a6-b2fd-4751-951d-5260dda73cae,Pristipomoides blenny,https://collections.nmnh.si.edu/media/?i=11912814,Predator,Reef Fish
ld1-1643413067249-1643413073033-0,Gobiopsis springeri Lachner & McKinney,13.6509,120.841,33,Pacific Ocean,http://n2t.net/ark:/65665/3b35adfb7-b130-460b-8db8-4293c9919481,Gobiopsis goby,https://collections.nmnh.si.edu/media/?i=13002048,Prey,Reef Fish
ld1-1643413067249-1643413084190-0,Sebastapistes fowleri,-14.2966,-178.166,16,Pacific Ocean,http://n2t.net/ark:/65665/3b9d568da-847e-423b-a924-a30dbe4ac513,Sebastapistes goby,https://collections.nmnh.si.edu/media/?i=13315417,Predator,Reef Fish
ld1-1643413067249-1643413084224-1,Ptereleotris microlepis,-14.3315,-178.072,7,Pacific Ocean,http://n2t.net/ark:/65665/33e633d9a-1a47-4cb2-916c-48ea59053555,Ptereleotris perch,https://collections.nmnh.si.edu/media/?i=13316046,Prey,Others
ld1-1643413067249-1643413084331-0,Ostracion meleagris,-14.3317,-178.07,10,Pacific Ocean,http://n2t.net/ark:/65665/3e62c98cb-7555-4921-8159-1cc7e0b33929,Ostracion goby,https://collections.nmnh.si.edu/media/?i=13315939,Others,Reef Fish
ld1-1643413067249-1643413084599-1,Naso vlamingii,-14.3317,-178.07,8,Pacific Ocean,http://n2t.net/ark:/65665/3aa080c3d-7821-4c4a-a425-791f3a570cc2,Naso perch,https://collections.nmnh.si.edu/media/?i=13316844,Others,Others
ld1-1643413067249-1643413084160-0,Centropyge loriculus,-14.3325,-177.999,18,Pacific Ocean,http://n2t.net/ark:/65665/37037a507-e8f9-41df-9bfc-9468fc38a0c0,Centropyge dragonet,https://collections.nmnh.si.edu/media/?i=13315772,Others,Others
ld1-1643413067249-1643413073320-0,Grammistes sexlineatus,9.1375,123.515,4,Pacific Ocean,http://n2t.net/ark:/65665/38e7a67b9-449c-4ef7-9e2a-bd62d31f3b27,Grammistes eel,https://collections.nmnh.si.edu/media/?i=13001930,Predator,Eel-like Fish
ld1-1643413067249-1643413084163-0,Apterichtus klazingai,-14.3139,-178.067,7,Pacific Ocean,http://n2t.net/ark:/65665/326ec8113-9513-48bf-97ae-1c9ff50a3388,Apterichtus snapper,https://collections.nmnh.si.edu/media/?i=13316724,Predator,Pelagic Fish
ld1-1643413067249-1643413071284-1,Atherinomorus insularum,21.4326,-157.789,1,Pacific Ocean,http://n2t.net/ark:/65665/39bf4e0b5-2448-479f-84dd-13ffbe0c1040,Atherinomorus perch,https://collections.nmnh.si.edu/media/?i=12307225,Prey,Others
ld1-1643413067249-1643413084382-1,Centropyge heraldi,-14.3487,-178.021,13,Pacific Ocean,http://n2t.net/ark:/65665/35adec5bc-7e07-40bc-9edc-4f529ced6f0e,Centropyge snapper,https://collections.nmnh.si.edu/media/?i=13316788,Others,Pelagic Fish
ld1-1643413067249-1643413084350-0,Gymnothorax chilospilus,-14.272,-178.181,16,Pacific Ocean,http://n2t.net/ark:/65665/34e379770-0e41-4460-ad3a-f99776a91f13,Gymnothorax blenny,https://collections.nmnh.si.edu/media/?i=13316423,Predator,Reef Fish
ld1-1643413067249-1643413084404-1,Istigobius rigilius,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/3c2cbf793-c608-4dd4-93b8-88c82e141ca3,Bluebelly goby,https://collections.nmnh.si.edu/media/?i=13315168,Prey,Reef Fish
ld1-1643413067249-1643413084390-0,Uropterygius fuscoguttatus Schultz,-14.2966,-178.166,16,Pacific Ocean,http://n2t.net/ark:/65665/31d3ce646-37de-4be9-9752-01f9ac5acbb9,Uropterygius dragonet,https://collections.nmnh.si.edu/media/?i=13315462,Predator,Others
ld1-1643413067249-1643413084420-0,Scarus psittacus Forsskal,-14.2359,-178.174,9,Pacific Ocean,http://n2t.net/ark:/65665/39c32d00b-cca6-40a9-9a65-1d98e68c2670,Scarus fish,https://collections.nmnh.si.edu/media/?i=13316687,Others,Others
ld1-1643413067249-1643413084214-1,Plectrypops lima,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/3c3943c11-73fd-4ab9-a0b4-bf49948ac5e9,Plectrypops fish,https://collections.nmnh.si.edu/media/?i=13315325,Prey,Others
ld1-1643413067249-1643413084239-1,Scarus forsteni,-14.2359,-178.174,9,Pacific Ocean,http://n2t.net/ark:/65665/39184723f-0cc7-4bc6-ae69-a83e8a3b59e3,Scarus blenny,https://collections.nmnh.si.edu/media/?i=13316692,Others,Reef Fish
ld1-1643413067249-1643413072998-0,Uropterygius nagoensis,9.1712,123.464,23,Pacific Ocean,http://n2t.net/ark:/65665/399f58016-659b-4bd5-b526-3cdbfa363271,Uropterygius perch,https://collections.nmnh.si.edu/media/?i=13001819,Predator,Others
ld1-1643413067249-1643413084220-1,Pristiapogon kallopterus,-14.2429,-178.181,19,Pacific Ocean,http://n2t.net/ark:/65665/34c8c8a2c-8024-477d-8dd9-1140163a46ad,Pristiapogon perch,https://collections.nmnh.si.edu/media/?i=13316609,Prey,Others
ld1-1643413067249-1643413084318-0,Valenciennea strigata,-14.3548,-178.053,14,Pacific Ocean,http://n2t.net/ark:/65665/3ff076902-a7fa-4e2a-886a-fb643531e147,Blueband goby,https://collections.nmnh.si.edu/media/?i=13315515,Prey,Reef Fish
ld1-1643413067249-1643413073062-1,Chromis analis,9.2011,123.279,6,Pacific Ocean,http://n2t.net/ark:/65665/3acf78351-47f0-45bd-b7b9-a3b0df39a488,Chromis blenny,https://collections.nmnh.si.edu/media/?i=13001860,Prey,Reef Fish
ld1-1643413067249-1643413084197-0,Paracanthurus hepatus,-14.2359,-178.174,9,Pacific Ocean,http://n2t.net/ark:/65665/3db2655ff-e1f1-42e8-9867-1df91ae8ce9d,Palette surgeonfish,https://collections.nmnh.si.edu/media/?i=13316672,Others,Reef Fish
ld1-1643413067249-1643413071104-1,Chaetodon lunulatus,21.4323,-157.79,2,Pacific Ocean,http://n2t.net/ark:/65665/3fc9e7546-f8bf-4dfe-ae3d-2620b7b62af0,Redfin butterflyfish,https://collections.nmnh.si.edu/media/?i=12307398,Others,Reef Fish
ld1-1643413067249-1643413071095-1,Parupeneus multifasciatus,21.4346,-157.787,3,Pacific Ocean,http://n2t.net/ark:/65665/3c3c26d5a-d229-4632-9ebc-3dc5f21680a7,Parupeneus eel,https://collections.nmnh.si.edu/media/?i=12307367,Prey,Eel-like Fish
ld1-1643413067249-1643413084291-0,Cheilinus chlorourus,-14.3315,-178.072,7,Pacific Ocean,http://n2t.net/ark:/65665/39fa7ce19-67e2-4ebc-9343-8a08ddec2458,Cheilinus perch,https://collections.nmnh.si.edu/media/?i=13316084,Prey,Others
ld1-1643413067249-1643413084153-0,Ctenochaetus strigosus,-14.272,-178.181,16,Pacific Ocean,http://n2t.net/ark:/65665/3cf51d383-d7a6-472f-8850-8fcab8a2c822,Ctenochaetus eel,https://collections.nmnh.si.edu/media/?i=13316411,Others,Eel-like Fish
ld1-1643413067249-1643413073072-0,Pictichromis diadema,13.651,120.841,35,Pacific Ocean,http://n2t.net/ark:/65665/3c11f4016-ed26-40a3-8dc5-2687db269802,Pictichromis snapper,https://collections.nmnh.si.edu/media/?i=13002017,Predator,Pelagic Fish
ld1-1643413067249-1643413084411-1,Eviota afelei Jordan & Seale,-14.3315,-178.072,7,Pacific Ocean,http://n2t.net/ark:/65665/393705c78-1d9e-4e83-a271-f4985d5a1c7e,Eviota goby,https://collections.nmnh.si.edu/media/?i=13316072,Prey,Reef Fish
ld1-1643413067249-1643413084183-0,Chaetodon lunula,-14.272,-178.181,9,Pacific Ocean,http://n2t.net/ark:/65665/324bc6ba2-6cf7-4a5b-b7a9-31fb78dbd73a,Chaetodon dragonet,https://collections.nmnh.si.edu/media/?i=13316459,Others,Others
ld1-1643413067249-1643413084430-1,Gymnothorax meleagris,-14.3476,-178.074,5,Pacific Ocean,http://n2t.net/ark:/65665/320348207-aaf8-42a4-a540-ebd0fc497d69,Gymnothorax dragonet,https://collections.nmnh.si.edu/media/?i=13315754,Predator,Others
ld1-1643413067249-1643413084185-0,Plectranthias nanus Randall,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/3989082d5-9fba-4d80-ad4d-9f4c35e3da9f,Plectranthias goby,https://collections.nmnh.si.edu/media/?i=13315134,Predator,Reef Fish
ld1-1643413067249-1643413071176-0,Kyphosus vaigiensis,21.4323,-157.79,2,Pacific Ocean,http://n2t.net/ark:/65665/34f9e3c5e-ae87-46b4-a9d3-68ac8b671724,Kyphosus fish,https://collections.nmnh.si.edu/media/?i=12307389,Others,Others
ld1-1643413067249-1643413084286-0,Eviota punctulata Jewett & Lachner,-14.3107,-178.141,16,Pacific Ocean,http://n2t.net/ark:/65665/371320f89-61c5-4dc4-ada2-632116507f4c,Eviota blenny,https://collections.nmnh.si.edu/media/?i=13316509,Prey,Reef Fish
ld1-1643413067249-1643413084415-0,Sufflamen chrysopterum,-14.2512,-178.152,11,Pacific Ocean,http://n2t.net/ark:/65665/340659e38-2dfc-43bc-b0ef-af45085fdd7e,Sufflamen snapper,https://collections.nmnh.si.edu/media/?i=13316261,Predator,Pelagic Fish
ld1-1643413067249-1643413084234-0,Aporops bilinearis,-14.3325,-177.999,18,Pacific Ocean,http://n2t.net/ark:/65665/398637375-15b7-40e2-88b5-851439ecafd2,Aporops blenny,https://collections.nmnh.si.edu/media/?i=13315788,Predator,Reef Fish
ld1-1643413067249-1643413084247-1,Choeroichthys brachysoma,-14.2958,-178.07,15,Pacific Ocean,http://n2t.net/ark:/65665/346be210f-d52f-4987-8bd2-e71fce5da8ee,Choeroichthys wrasse,https://collections.nmnh.si.edu/media/?i=13316006,Others,Reef Fish
ld1-1643413067249-1643413073087-0,Parapercis,13.6882,120.827,24,Pacific Ocean,http://n2t.net/ark:/65665/3d693365e-19b1-4f4b-8dbe-92c42d6ebed0,Parapercis dragonet,https://collections.nmnh.si.edu/media/?i=13001956,Predator,Others
ld1-1643413067249-1643413073375-1,Pseudocoris yamashiroi,13.6882,120.827,24,Pacific Ocean,http://n2t.net/ark:/65665/32f5cb26e-8f3a-4d89-8f54-f57364f857f2,Pseudocoris eel,https://collections.nmnh.si.edu/media/?i=13001955,Prey,Eel-like Fish
ld1-1643413067249-1643413084414-0,Plesiops polydactylus Mooi,-14.3139,-178.067,7,Pacific Ocean,http://n2t.net/ark:/65665/32533e72d-967f-4317-9b20-02b2249e73be,Plesiops perch,https://collections.nmnh.si.edu/media/?i=13316704,Predator,Others
ld1-1643413067249-1643413084439-1,Gnathodentex aureolineatus,-14.3129,-178.15,9,Pacific Ocean,http://n2t.net/ark:/65665/366064ec2-40e4-435d-b02f-495b9c32918a,Gnathodentex eel,https://collections.nmnh.si.edu/media/?i=13316561,Predator,Eel-like Fish
ld1-1643413067249-1643413084159-0,Gymnothorax buroensis,-14.3476,-178.074,5,Pacific Ocean,http://n2t.net/ark:/65665/39263027d-b0d3-4572-a1f3-13ea1a89ee1a,Gymnothorax wrasse,https://collections.nmnh.si.edu/media/?i=13315745,Predator,Reef Fish
ld1-1643413067249-1643413069597-0,Aseraggodes,-17.4825,-149.882,3,Pacific Ocean,http://n2t.net/ark:/65665/3f2b07f97-d278-4d5f-9ca8-09322d26952d,Aseraggodes perch,https://collections.nmnh.si.edu/media/?i=11912226,Others,Others
ld1-1643413067249-1643413070180-0,Lethrinus cf. olivaceus,-23.2229,-134.975,18,Pacific Ocean,http://n2t.net/ark:/65665/3d3061493-c8c1-4e11-9899-ce9e1a0f0499,Lethrinus perch,https://collections.nmnh.si.edu/media/?i=11949455,Predator,Others
ld1-1643413067249-1643413069524-0,Aprion virescens,-17.4797,-149.853,30,Pacific Ocean,http://n2t.net/ark:/65665/314b6c64c-5fbb-4c0b-b6dc-f4bd26c5030c,Aprion blenny,https://collections.nmnh.si.edu/media/?i=11912659,Predator,Reef Fish
ld1-1643413067249-1643413071193-0,Chromis agilis,21.466,-157.764,13,Pacific Ocean,http://n2t.net/ark:/65665/35d363c09-2791-4e1e-92de-0c912b287973,Agile chromis,https://collections.nmnh.si.edu/media/?i=12307421,Prey,Reef Fish
ld1-1643413067249-1643413084256-0,Crystallodytes enderburyensis,-14.2512,-178.152,11,Pacific Ocean,http://n2t.net/ark:/65665/31edc3555-f2a3-4c3d-a45c-1121344175f7,Crystallodytes perch,https://collections.nmnh.si.edu/media/?i=13316265,Prey,Others
ld1-1643413067249-1643413073385-0,Eviota winterbottomi Greenfield & Randall,13.7173,120.872,4,Pacific Ocean,http://n2t.net/ark:/65665/3b89510a0-31fd-4142-a582-d36c69eb420b,Eviota wrasse,https://collections.nmnh.si.edu/media/?i=13001948,Prey,Reef Fish
ld1-1643413067249-1643413084423-0,Trimma unisquame,-14.2429,-178.181,19,Pacific Ocean,http://n2t.net/ark:/65665/3c0314466-4fed-4de5-a2f1-d4f41392a803,Trimma snapper,https://collections.nmnh.si.edu/media/?i=13316622,Prey,Pelagic Fish
ld1-1643413067249-1643413073012-0,Steeneichthys nativitatis,9.1712,123.464,23,Pacific Ocean,http://n2t.net/ark:/65665/3b4da48f5-7c74-4cab-86a6-1a95e7683eae,Steeneichthys blenny,https://collections.nmnh.si.edu/media/?i=13001811,Predator,Reef Fish
ld1-1643413067249-1643413084183-1,Chaetodon quadrimaculatus,-14.2359,-178.174,9,Pacific Ocean,http://n2t.net/ark:/65665/374cd29cd-a90a-4ea9-ab94-614c1129aab2,Chaetodon goby,https://collections.nmnh.si.edu/media/?i=13316682,Others,Reef Fish
ld1-1643413067249-1643413084147-1,Pristiapogon fraenatus,-14.3107,-178.141,16,Pacific Ocean,http://n2t.net/ark:/65665/345fc9bf7-ec19-4d14-9c78-85bee71a083a,Pristiapogon dragonet,https://collections.nmnh.si.edu/media/?i=13316491,Prey,Others
ld1-1643413067249-1643413084134-1,Trimma okinawae,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/3c139e446-40f6-4225-b48f-6e53a7ea05cf,Trimma eel,https://collections.nmnh.si.edu/media/?i=13315162,Prey,Eel-like Fish
ld1-1643413067249-1643413084292-0,Acanthurus nigrofuscus,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/36aebed39-d698-4be1-bf5d-acb0f8fe1231,Brown surgeonfish,https://collections.nmnh.si.edu/media/?i=13315310,Others,Reef Fish
ld1-1643413067249-1643413084316-1,Gymnothorax enigmaticus,-14.2429,-178.181,19,Pacific Ocean,http://n2t.net/ark:/65665/3617efc17-2be3-4988-818b-27ae2f33aa76,Gymnothorax blenny,https://collections.nmnh.si.edu/media/?i=13316611,Predator,Reef Fish
ld1-1643413067249-1643413073731-1,Eviota minuta Jewett & Lachner,9.1375,123.515,4,Pacific Ocean,http://n2t.net/ark:/65665/3f0c910d9-741c-4274-a6c8-4ee71ea6c37d,Eviota snapper,https://collections.nmnh.si.edu/media/?i=13001934,Prey,Pelagic Fish
ld1-1643413067249-1643413084152-0,Anampses twistii,-14.272,-178.181,9,Pacific Ocean,http://n2t.net/ark:/65665/35c64e49b-23bf-476a-8b43-ed7cfa88689a,Anampses fish,https://collections.nmnh.si.edu/media/?i=13316440,Prey,Others
ld1-1643413067249-1643413071281-0,Acanthurus leucopareius,21.4638,-157.775,7,Pacific Ocean,http://n2t.net/ark:/65665/3d43dbf3a-6118-4204-8888-4aef537ed8aa,Acanthurus wrasse,https://collections.nmnh.si.edu/media/?i=12307428,Others,Reef Fish
ld1-1643413067249-1643413071221-0,Centropyge potteri,21.466,-157.764,13,Pacific Ocean,http://n2t.net/ark:/65665/30ced797f-792f-4acc-9ada-23c9e6d75f37,Centropyge goby,https://collections.nmnh.si.edu/media/?i=12307419,Others,Reef Fish
ld1-1643413067249-1643413084334-0,Cephalopholis argus,-14.2966,-178.166,16,Pacific Ocean,http://n2t.net/ark:/65665/34f3ff888-9f8f-44ff-ba03-f83b421f62fe,Peacock grouper,https://collections.nmnh.si.edu/media/?i=13315428,Predator,Demersal Fish
ld1-1643413067249-1643413084413-0,Scarus rivulatus,-14.3129,-178.15,9,Pacific Ocean,http://n2t.net/ark:/65665/3b5ec3228-4fd4-4219-aaaf-fc79793b185c,Scarus dragonet,https://collections.nmnh.si.edu/media/?i=13316550,Others,Others
ld1-1643413067249-1643413084355-1,Parapercis millepunctata,-14.2958,-178.07,15,Pacific Ocean,http://n2t.net/ark:/65665/3a6752ee1-6424-4d2f-86e2-bd5476e3f2c7,Parapercis snapper,https://collections.nmnh.si.edu/media/?i=13315985,Predator,Pelagic Fish
ld1-1643413067249-1643413073070-1,Pherallodus indicus,13.6879,120.841,1,Pacific Ocean,http://n2t.net/ark:/65665/3e6595881-ccc3-451f-a0cd-965a771ddc11,Pherallodus fish,https://collections.nmnh.si.edu/media/?i=13001984,Others,Others
ld1-1643413067249-1643413069759-0,Halichoeres marginatus,-17.4855,-149.889,2,Pacific Ocean,http://n2t.net/ark:/65665/30a3dbf08-6a36-41ff-903b-bcd19c010657,Halichoeres blenny,https://collections.nmnh.si.edu/media/?i=11912671,Prey,Reef Fish
ld1-1643413067249-1643413084298-0,Cantherhines dumerilii,-14.3317,-178.07,10,Pacific Ocean,http://n2t.net/ark:/65665/300e1d294-1d71-43d3-9d68-4799effc553e,Whitespotted filefish,https://collections.nmnh.si.edu/media/?i=13315905,Others,Reef Fish
ld1-1643413067249-1643413084203-0,Echidna nebulosa,-14.3325,-177.999,18,Pacific Ocean,http://n2t.net/ark:/65665/3d7202933-d31c-4d0d-bb9c-4bdf62d9fd09,Echidna eel,https://collections.nmnh.si.edu/media/?i=13315879,Predator,Eel-like Fish
ld1-1643413067249-1643413072938-0,Istigobius nigroocellatus,13.6842,120.831,1,Pacific Ocean,http://n2t.net/ark:/65665/3b871c62f-3430-4f06-8918-035d2f7fdd96,Istigobius perch,https://collections.nmnh.si.edu/media/?i=13002034,Prey,Others
ld1-1643413067249-1643413084438-0,Priolepis ailina,-14.272,-178.181,16,Pacific Ocean,http://n2t.net/ark:/65665/39eabba4a-998c-4f7d-82fb-103f1f8c17c8,Priolepis eel,https://collections.nmnh.si.edu/media/?i=13316361,Prey,Eel-like Fish
ld1-1643413067249-1643413084657-0,Eviota latifasciata Jewett & Lachner,-14.272,-178.181,16,Pacific Ocean,http://n2t.net/ark:/65665/3aa61c601-d3cc-44f5-8f17-cc2b5f60a2e9,Eviota perch,https://collections.nmnh.si.edu/media/?i=13316364,Prey,Others
